#label	id	#tags	bgsl_curator_meta
Lewis a (b1-3)Gal	https://api.glycosmos.org/wurcs2image/latest/png/binary/G28420BK		"{""keep"": true, ""suggested_class"": ""1A""}"
Lewis y (extended) / Hexasaccharide	https://api.glycosmos.org/wurcs2image/latest/png/binary/G69030AU		"{""keep"": true, ""suggested_class"": ""1A""}"
O-Mannosyl Glycan / Mammalian	https://api.glycosmos.org/wurcs2image/latest/png/binary/G59126YU		"{""keep"": true, ""suggested_class"": ""3C""}"
O-Mannosyl Glycan / Yeast	https://api.glycosmos.org/wurcs2image/latest/png/binary/G25559RS		"{""keep"": true, ""suggested_class"": ""3C""}"
O-Fucose Glycan /EGF Repeat	https://api.glycosmos.org/wurcs2image/latest/png/binary/G39294YF		"{""keep"": true, ""suggested_class"": ""1B""}"
O-Fucose Glycan /Thrombospondin Type 1 Repeat	https://api.glycosmos.org/wurcs2image/latest/png/binary/G36855WW		"{""keep"": true, ""suggested_class"": ""3C""}"
Cyclic Sialyl 6-Sulfo Lewis x	https://api.glycosmos.org/wurcs2image/latest/png/binary/G11148DZ		"{""keep"": true, ""suggested_class"": ""1A""}"
Blood Group A	https://api.glycosmos.org/wurcs2image/latest/png/binary/G00066MO		"{""keep"": true, ""suggested_class"": ""1A""}"
Blood Group A Trisaccharide	https://api.glycosmos.org/wurcs2image/latest/png/binary/G00066MO		"{""keep"": true, ""suggested_class"": ""1A""}"
Blood Group A Type 1	https://api.glycosmos.org/wurcs2image/latest/png/binary/G66163TI		"{""keep"": true, ""suggested_class"": ""1A""}"
Blood Group A Type 1 (difucosyl)	https://api.glycosmos.org/wurcs2image/latest/png/binary/G97501MA		"{""keep"": true, ""suggested_class"": ""1A""}"
Blood Group A Type 2	https://api.glycosmos.org/wurcs2image/latest/png/binary/G74353FF		"{""keep"": true, ""suggested_class"": ""1A""}"
Blood Group A Type 2 (difucosyl)	https://api.glycosmos.org/wurcs2image/latest/png/binary/G54826OZ		"{""keep"": true, ""suggested_class"": ""1A""}"
Blood Group A Type 3	https://api.glycosmos.org/wurcs2image/latest/png/binary/G99315PE		"{""keep"": true, ""suggested_class"": ""1A""}"
Blood Group A Type 4	https://api.glycosmos.org/wurcs2image/latest/png/binary/G17480GI		"{""keep"": true, ""suggested_class"": ""1A""}"
9-O-Acetyl Sialic Acid	https://api.glycosmos.org/wurcs2image/latest/png/binary/G47325QT		"{""keep"": true, ""suggested_class"": ""3B""}"
Disialyl T Antigen	https://api.glycosmos.org/wurcs2image/latest/png/binary/G01614ZM		"{""keep"": true, ""suggested_class"": ""1A""}"
Sialyl Tn Antigen	https://api.glycosmos.org/wurcs2image/latest/png/binary/G36123IU		"{""keep"": true, ""suggested_class"": ""1A""}"
Trifucosyl-Lewis b Antigen	https://api.glycosmos.org/wurcs2image/latest/png/binary/G74578MX		"{""keep"": true, ""suggested_class"": ""1A""}"
Trifucosyl-Lewis y Antigen	https://api.glycosmos.org/wurcs2image/latest/png/binary/G74917JX		"{""keep"": true, ""suggested_class"": ""1A""}"
Blood Group B Type 2	https://api.glycosmos.org/wurcs2image/latest/png/binary/G94956AW		"{""keep"": true, ""suggested_class"": ""1A""}"
Chindroitin Sulfate D Unit	https://api.glycosmos.org/wurcs2image/latest/png/binary/G46732TY		"{""keep"": true, ""suggested_class"": ""1A""}"
1-6 beta Galactan	https://api.glycosmos.org/wurcs2image/latest/png/binary/G69386QK		"{""keep"": true, ""suggested_class"": ""1C""}"
