Glycan determinant in N- and O-glycans and glycolipids	Trivial name (and reference)a	bgsl_curator_meta
NeuAcα2-8NeuAcα2-3Galβ1-3GalNAcβ1-4(NeuAcα2-8NeuAcα2-3)Galβ1-4Glcβ1-Cer	GQ1b	"{""keep"": true, ""suggested_class"": ""1A""}"
NeuAcα2-3Galβ1-3(NeuAcα2-6)GalNAcβ1-4(NeuAcα2-8NeuAcα2-3)Galβ1-4Glcβ1-Cer	GQ1bα	"{""keep"": true, ""suggested_class"": ""1A""}"
NeuAcα2-3Galβ1-3GalNAcβ1-4(NeuAcα2-8NeuAcα2-8NeuAcα2-3)Galβ1-4Glcβ1-Cer	GQ1c	"{""keep"": true, ""suggested_class"": ""1A""}"
NeuAcα2-8NeuAcα2-3Galβ1-3GalNAcβ1-4(NeuAcα2-8NeuAcα2-8NeuAcα2-3)Galβ1-4Glcβ1-Cer	GP1c	"{""keep"": true, ""suggested_class"": ""1A""}"
NeuAcα2-3Galβ1-3(NeuAcα2-6)GalNAcβ1-4(NeuAcα2-8NeuAcα2-8NeuAcα2-3)Galβ1-4Glcβ1-Cer	GP1cα	"{""keep"": true, ""suggested_class"": ""1A""}"
NeuAcα2-8NeuAcα2-3Galβ1-3(NeuAcα2-6)GalNAcβ1-4(NeuAcα2-8NeuAcα2-8NeuAcα2-3)Galβ1-4Glcβ1-Cer	GH1cα	"{""keep"": true, ""suggested_class"": ""1A""}"
Galβ1-4GlcNAcβ1-3Galβ1-4(Fucα1-3)GlcNAcβ1-3Galβ1-4GlcNAcβ1-3Galβ1-4GlcNAcβ1-3Galβ1-4Glcβ1-Cer	Mono-fucosyl LN5	"{""keep"": true, ""suggested_class"": ""1B""}"
Galβ1-4GlcNAcβ1-3Galβ1-4(Fucα1-3)GlcNAcβ1-3Galβ1-4Glcβ1-Cer	Mono-fucosyl LN3	"{""keep"": true, ""suggested_class"": ""1B""}"
(NeuAcα2-3Galβ1-4GlcNAcβ1-6)(NeuAcα2-3Galβ1-4GlcNAcβ1-3)Galβ1-4GlcNAcβ1-R	Disialyl-branched Type 2	"{""keep"": true, ""suggested_class"": ""1B""}"
Fucα1-2Galβ1-3(Fucα1-4)GlcNAcβ1-3(Fucα1-2)Galβ1-3(Fucα1-4)GlcNAcβ1-3Galβ1-4Glcβ1-Cer	Extended tetrafucosyl-Leb	"{""keep"": true, ""suggested_class"": ""1A""}"
Fucα1-2Galβ1-3(Fucα1-4)GlcNAcβ1-3Galβ1-4(Fucα1-4)GlcNAcβ1-3Galβ1-4Glcβ1-Cer	Extended trifucosyl-Leb	"{""keep"": true, ""suggested_class"": ""1A""}"
Galβ1-3(Fucα1-4)GlcNAcβ1-3Galβ1-3(Fucα1-4)GlcNAcβ1-3Galβ1-4Glcβ1-Cer	Dimeric Lea	"{""keep"": true, ""suggested_class"": ""1A""}"
NeuAcα2-3Galβ1-3(Fucα1-4)GlcNAcβ1-3Galβ1-4Glcβ1-Cer	Sialyl Leaglycolipid	"{""keep"": true, ""suggested_class"": ""1A""}"
NeuAcα2-6Galβ1-4GlcNAcβ1-3Galβ1-4Glcβ1-Cer	Monosialylganglioside LSTb	"{""keep"": true, ""suggested_class"": ""1B""}"
Su-3GlcAβ1-3Galβ1-4GlcNAcβ1-3Galβ1-4GlcNAcβ1-3Galβ1-4Glcβ1-Cer	HNK-expressing SGLPG	"{""keep"": true, ""suggested_class"": ""1A"", ""notes"": ""Is abbreviation of NHK-expressing sulfoglucuronyl lactosaminyl paragloboside.""}"
