lbl,gsd_id
Glc3Man9GlcNAc2,None
GlcA-GlcNAc repeating unit,None
GlcAβ1-3GalNAc repeating unit,None
GlcAβ1-3Galβ,None
GlcNAc-P-Man phosphodiester,None
GlcNAcβ1-2Manα1-3,None
GlcNAcβ1-2Manα1-6,None
GlcNAcβ1-4Gal,None
GlcNAcβ1-4GlcNAc,None
GlcNAcβ1-4Glc,None
GlcNAcβ1-4Man,None
Glcα1-4Glc repeating unit,None
Glcα1-phosphate-Man,None
Glcβ1-3Fucα-O-,None
globo-series glycospingolipids,GSD000087
glucan,None
glucomannan,None
glucosylceramide,GSD000090
glucuronoarabinoxylan,None
glucuronoxylan,None
glycogen,None
glycoglycerolipid,None
glycoinositolphospholipids,None
glycolipids,None
glycosaminoglycans,None
glycosphingolipids,None
glycosylceramide,None
glycosyldiacylglycerolipid,None
glycosylinositolphosphorylceramide,None
GM1b,None
GM1,GSD000091
GM2,GSD000092
GM3,GSD000093
GPI glycan,None
GQ1b,GSD000096
GT1b,GSD000101
GT1c,GSD000102
hemicellulose,None
heparan sulfate backbone,None
heparan sulfate,GSD000106
heparin,GSD000107
heteroxylan,None
highly branched complex-type N-glycan,None
high-mannose N-glycan,GSD000108
HNK-1,GSD000109
homogalacturonan,None
hyaluronan,GSD000183
hybrid N-glycan,GSD000110
I antigen,GSD000112
i antigen,GSD000111
keratan sulfate–related glycan antigens,None
keratan sulfate,GSD000114
LacdiNAc,GSD000115
LacNAc,None
lacto-series glycosphingolipids,None
lactosylceramide,GSD000116
Leishmania lipophosphoglycan repeat unit,None
levan-type fructan,None
Lewis antigens,None
Lewis a,GSD000119
Lewis b,GSD000120
Lewis x,GSD000121
lipid A core oligosaccharide,None
lipo-chitooligosaccharide,None
lipoglycan,None
lipopeptidophosphoglycan,None
lipophosphoglycan,None
lipopolysaccharide,None
lipoteichoic acid,None
M7BC,None
M8B,None
Man3,None
Man5,None
Man6,None
Man-6-P-containing N-glycan,None
Man7,None
Man8,None
Man9,None
mannan,None
mannose-terminated N-glycan,None
mannosylated lipoarabinomannan,None
Manα1-2Manα1-2Manα1-6Manα1-4GlcN-inositolphosphoceramide,None
Manα1-3Man disaccharide,None
Manβ1-4Glc-ceramide,None
matriglycan,None
methanochondroitin,None
monoantennary N-glycan,None
monoglucosylated N-glycan,None
monosialylated ganglioside,None
mucin-type O-glycans,None
multiantennary complex-type N-glycan,None
neolacto-series glycosphingolipids,None
Neu5Acα2-3Gal,None
Neu5Acα2-6Gal,None
Neu5Gcα2-3Galβ1-4Glc,None
N-glycan core,None
N-glycan corneal-type keratan sulfate,None
N-glycans,GSD000131
O-acetylated sialic acids,None
O-antigen,None
O-fucose glycan,GSD000137
O-GalNAc core structures,None
O-GalNAc glycans,None
O-GalNAc-linked sialoglycans,None
O-glucose glycan,None
O-glycans,GSD000139
oligogalacturonides,None
oligoglucosides,None
oligomannose,None
O-linked fucose,None
O-linked Glc-Gal disaccharide,None
O-linked glucose,None
O-linked keratan sulfate,None
O-linked mannose,None
O-linked N-acetylglucosamine,GSD000138
O-linked sialoglycan,None
O-mannose glycan,GSD000140
Outer arm fucose,None
O-xylose-linked glycosaminoglycan,None
P1 antigen,GSD000141
