term	exact_synonyms	abbreviations	broad_synonyms	narrow_synonyms	related_synonyms	classification	gtc_id	gsd_id	glycomotif_id	sources	eog_sentence
GP1c-alpha	GP1calpha; GP1ca; GP1cα	GP1ca				1A	G04433GV; G16999RL; G00552RX		GlycoMotif:GGM.000119; GlycoMotif:CCRC.000119	GLYCOMOTIF_GGM; GLYCOMOTIF_CCRC; CUMMINGS; PUBDICT_GLYCAN_MOTIF	
GPI anchor core	GPI anchor; GPI glycan					1A	G00045MO; G46392BZ		GlycoMotif:GGM.001030	PUBDICT_GLYCAN_MOTIF; BIOOLIGO; GLYCOMOTIF_GGM; PUBDICT_MOTIF_GTC; EOG_VARKI_4E	
GQ1a-alpha	GQ1aalpha; GQ1aa; GQ1aα					1A	G90598GO; G26199BG		GlycoMotif:GGM.000114; GlycoMotif:GDV.000121; GlycoMotif:CCRC.000114	GLYCOMOTIF_GGM; GLYCOMOTIF_GDV; GLYCOMOTIF_CCRC; PUBDICT_GLYCAN_MOTIF; CUMMINGS	
GQ1b	ganglioside GQ1b				NeuAc-GQ1b	1A	G18625KA; G17077FL	GSD000096	GlycoMotif:GGM.000115; GlycoMotif:GDV.000124; GlycoMotif:CCRC.000115	EOG_VARKI_4E; GSD_GLYGEN_V0; PUBDICTIONARIES-GLYCAN-IMAGE; SUGARBIND; GLYCOEPITOPE; CUMMINGS; GLYCOMOTIF_GGM; GLYCOMOTIF_GDV; GLYCOMOTIF_CCRC; PUBDICT_GLYCAN_MOTIF; PUBDICT_GLYCOSMOS; PUBDICT_GLYCONAVI_NAME; PUBDICT_GLYCONAVI_ABBREV	
GQ1b alpha	GQ1balpha; GQ1ba; GQ1bα					1A	G54733XO; G49791FJ	GSD000097	GlycoMotif:GGM.000116; GlycoMotif:GDV.000091; GlycoMotif:CCRC.000116	GSD_GLYGEN_V0; PUBDICTIONARIES-GLYCAN-IMAGE; GLYCOEPITOPE; GLYCOMOTIF_GGM; GLYCOMOTIF_GDV; GLYCOMOTIF_CCRC; PUBDICT_GLYCAN_MOTIF; PUBDICT_GLYCOSMOS; CUMMINGS	
GQ1c						1A	G99524KA; G54442GQ	GSD000098	GlycoMotif:GGM.000117; GlycoMotif:GDV.000101; GlycoMotif:CCRC.000117	GSD_GLYGEN_V0; PUBDICTIONARIES-GLYCAN-IMAGE; CUMMINGS; GLYCOMOTIF_GGM; GLYCOMOTIF_GDV; GLYCOMOTIF_CCRC; PUBDICT_GLYCAN_MOTIF; PUBDICT_GLYCOSMOS	
GQ2						1A				PUBDICT_GLYCONAVI_NAME; PUBDICT_GLYCONAVI_ABBREV	
GT1a						1A	G68110IF; G93468NI	GSD000099	GlycoMotif:GGM.000110; GlycoMotif:GDV.000123; GlycoMotif:CCRC.000110	GSD_GLYGEN_V0; PUBDICTIONARIES-GLYCAN-IMAGE; GLYCOEPITOPE; BIOOLIGO; CUMMINGS; GLYCOMOTIF_GGM; GLYCOMOTIF_GDV; GLYCOMOTIF_CCRC; PUBDICT_GLYCAN_MOTIF; PUBDICT_GLYCOSMOS	
GT1a alpha	GT1aa; GT1aalpha					1A	G02149VR; G17486WU	GSD000100	GlycoMotif:GGM.000111; GlycoMotif:GDV.000094; GlycoMotif:CCRC.000111	GSD_GLYGEN_V0; PUBDICTIONARIES-GLYCAN-IMAGE; GLYCOEPITOPE; CUMMINGS; GLYCOMOTIF_GGM; GLYCOMOTIF_GDV; GLYCOMOTIF_CCRC; PUBDICT_GLYCAN_MOTIF; PUBDICT_GLYCOSMOS	
GT1b	ganglioside GT1b					1A	G40183QN; G05952XV	GSD000101	GlycoMotif:GGM.000112; GlycoMotif:GDV.000100; GlycoMotif:CCRC.000112	EOG_VARKI_4E; GSD_GLYGEN_V0; PUBDICTIONARIES-GLYCAN-IMAGE; GLYCOEPITOPE; BIOOLIGO; CUMMINGS; GLYCOMOTIF_GGM; GLYCOMOTIF_GDV; GLYCOMOTIF_CCRC; PUBDICT_GLYCAN_MOTIF; PUBDICT_GLYCOSMOS; PUBDICT_GLYCONAVI_NAME; PUBDICT_GLYCONAVI_ABBREV	
GT1c	ganglioside GT1c					1A	G78818SP; G50762GU	GSD000102	GlycoMotif:GGM.000113; GlycoMotif:GDV.000032; GlycoMotif:CCRC.000113	EOG_VARKI_4E; GSD_GLYGEN_V0; PUBDICTIONARIES-GLYCAN-IMAGE; BIOOLIGO; CUMMINGS; GLYCOMOTIF_GGM; GLYCOMOTIF_GDV; GLYCOMOTIF_CCRC; PUBDICT_GLYCAN_MOTIF; PUBDICT_GLYCOSMOS	
GT2						1A	G36476BA; G35228ZS	GSD000103	GlycoMotif:GGM.000109; GlycoMotif:GDV.000072; GlycoMotif:CCRC.000109	GSD_GLYGEN_V0; PUBDICTIONARIES-GLYCAN-IMAGE; BIOOLIGO; CUMMINGS; GLYCOMOTIF_GGM; GLYCOMOTIF_GDV; GLYCOMOTIF_CCRC; PUBDICT_GLYCAN_MOTIF; PUBDICT_GLYCOSMOS; PUBDICT_GLYCONAVI_NAME; PUBDICT_GLYCONAVI_ABBREV	
GT3						1A	G93899SO; G33570YF	GSD000104	GlycoMotif:GGM.000092; GlycoMotif:GDV.000128; GlycoMotif:CCRC.000092	GSD_GLYGEN_V0; PUBDICTIONARIES-GLYCAN-IMAGE; GLYCOEPITOPE; BIOOLIGO; CUMMINGS; GLYCOMOTIF_GGM; GLYCOMOTIF_GDV; GLYCOMOTIF_CCRC; PUBDICT_GLYCAN_MOTIF; PUBDICT_GLYCOSMOS; PUBDICT_GLYCONAVI_NAME; PUBDICT_GLYCONAVI_ABBREV	
H antigen						1A	G46868TY		GlycoMotif:CCRC.000010	GLYCOMOTIF_CCRC; PUBDICT_GLYCAN_MOTIF	The H allele encodes an α1-2FucT (FUT1) expressed in erythrocyte precursors and transfers Fuc to Type-2 and Type-4 glycan units to form the H antigen on erythrocytes (Figure 14.4).
H type 1						1A	G50899UD			SUGARBIND; PUBDICT_GLYCONAVI_NAME; PUBDICT_GLYCONAVI_ABBREV	
H type 1 Lewis b	H type 1 Leb					1A	G14300ZJ			SUGARBIND; PUBDICT_GLYCAN_MOTIF	
H2						1A				PUBDICT_GLYCONAVI_NAME; PUBDICT_GLYCONAVI_ABBREV	For any D sugar, the conversion of a Fischer projection into a Haworth projection proceeds as follows: (1) any groups (atoms) that are directed to the right in the Fischer structure are given a downward orientation in the Haworth structure, (2) any groups (atoms) that are directed to the left in the Fischer structure are given an upward orientation in the Haworth structure, and (3) the terminal —C...
H5 type 1						1A	G00050MO			SUGARBIND	
heparan sulfate	Heparan sulphate; Heparatan sulfate; Heparitin sulfate	HS		N-Acetylheparan sulfate	Heparan N-sulfate; Heparin monosulfate; Heparin sulfate; Heparitin monosulfate	1A	G17927IW	GSD000106		EOG_VARKI_4E; GSD_GLYGEN_V0; PUBDICTIONARIES-GLYCAN-IMAGE; GLYCOEPITOPE	Heparan sulfate also can contain anticoagulant activity, but typical preparations from cells or tissues are much less active than heparin.
heparan sulfate backbone				heparan sulfate		1A				EOG_VARKI_4E	
heparin				bemiparin; certoparin; Cy 222; enoxaparin; fluxum; parnaparin; reviparin; sandoparin	Heparinic acid	1A	G00021MO; G54161DR	GSD000107		EOG_VARKI_4E; GSD_GLYGEN_V0; PUBDICT_GLYCAN_MOTIF; PUBDICT_MOTIF_GTC	Heparin (a highly sulfated form of HS; Chapter 17) is a therapeutic agent extracted from porcine intestines or bovine lungs.
Heparin decasaccharide						1A				BIOOLIGO	
Heparin heptasaccharide						1A				BIOOLIGO	
Heparin hexasaccharide						1A				BIOOLIGO	
Heparin nonasaccharide						1A				BIOOLIGO	
Heparin octasaccharide						1A				BIOOLIGO	
Heparin pentasaccharide						1A				BIOOLIGO	Arixtra, a synthetic heparin pentasaccharide that binds antithrombin exactly as isolated heparin is used to prevent deep-vein thrombosis and pulmonary embolism and has gained market share in recent years even though it is more costly.
Heparin tetrasaccharide						1A				BIOOLIGO	
HNK-1 antigen	HNK-1; Human Natural Killer-1 carbohydrate; HNK-1 carbohydrate epitope					1A	G53277CD; G54406UD; G89591DK		GlycoMotif:GGM.000058; GlycoMotif:GDV.000081; GlycoMotif:CCRC.000058	CUMMINGS; GLYCOMOTIF_GGM; GLYCOMOTIF_GDV; GLYCOMOTIF_CCRC; PUBDICT_GLYCAN_MOTIF; EOG_VARKI_4E; GSD_GLYGEN_V0; PUBDICTIONARIES-GLYCAN-IMAGE; GLYCOEPITOPE; PUBDICT_GLYCOSMOS	The HNK-1 antigen is a terminally sulfated glycan that was first described on human natural killer cells, and is also called CD57.
HNK-1 on O-mannose						1A	G06898ZN; G60606QD; G82061CN		GlycoMotif:GGM.000059; GlycoMotif:GDV.000079; GlycoMotif:CCRC.000059	CUMMINGS; GLYCOMOTIF_GGM; GLYCOMOTIF_GDV; GLYCOMOTIF_CCRC; PUBDICT_GLYCAN_MOTIF	
HNK-expressing SGLPG						1A	G10503MP; G43040ZY		GlycoMotif:GDV.000080; GlycoMotif:CCRC.000129	CUMMINGS; GLYCOMOTIF_GDV; GLYCOMOTIF_CCRC; PUBDICT_GLYCAN_MOTIF	
hyaluronan		HA				1A	G29086KO; G00017MO	GSD000183		EOG_VARKI_4E; GSD_GLYGEN_V0; PUBDICT_GLYCAN_MOTIF	Hyaluronan chains occupy a large hydrodynamic volume such that in a solution containing 3–5 mg/mL hyaluronan, individual molecules occupy essentially all of the solvent.
Hyluronan						1A	G00017MO			PUBDICT_MOTIF_GTC	
I antigen	I Antigen Like					1A	G56045WU; G46055MA; G26929DQ; G96238FJ	GSD000112	GlycoMotif:GGM.000003; GlycoMotif:CCRC.000004	EOG_VARKI_4E; GSD_GLYGEN_V0; PUBDICTIONARIES-GLYCAN-IMAGE; GLYCOEPITOPE; CUMMINGS; GLYCOMOTIF_GGM; GLYCOMOTIF_CCRC; PUBDICT_GLYCAN_MOTIF	The development of antibodies against the I antigen is often associated with a Mycoplasma pneumoniae infection, whereas anti-i antibodies occur most commonly in the setting of infectious mononucleosis.
II3Neu5GcGg4Cer, GM1						1A	G24034CH			SUGARBIND	
II3Neu5GcGg4Cer, GM1(Gc)						1A	G24034CH			PUBDICT_GLYCAN_MOTIF	
Internal Blood Group H						1A	G82749ZI			PUBDICT_GLYCAN_MOTIF	
internal Lewis x						1A	G64227KZ			PUBDICTIONARIES-GLYCAN-IMAGE; GLYCOEPITOPE; PUBDICT_GLYCAN_MOTIF; PUBDICT_GLYCOSMOS	
Isoglobopentaose	Isoglobopentaose (iGB5)	iGB5				1A				BIOOLIGO	
Isoglobotetraose	isoglobotetraosylceramide	iGb4				1A	G57710SU; G19926LY; G32862WC		GlycoMotif:GGM.000071; GlycoMotif:GDV.000064; GlycoMotif:CCRC.000071	BIOOLIGO; PUBDICTIONARIES-GLYCAN-IMAGE; PUBDICT_GLYCOSMOS; GSD_GLYGEN_V0; CUMMINGS; GLYCOMOTIF_GGM; GLYCOMOTIF_GDV; GLYCOMOTIF_CCRC; PUBDICT_GLYCAN_MOTIF	
Isoglobotriaosylceramide		IGb3			Isoglobotri	1A	G78074HX			SUGARBIND; PUBDICT_GLYCAN_MOTIF	
Isoglobotriose		iGb3				1A	G78074HX			BIOOLIGO; PUBDICT_GLYCONAVI_NAME; PUBDICT_GLYCONAVI_ABBREV; PUBDICTIONARIES-GLYCAN-IMAGE; PUBDICT_GLYCOSMOS	
keratan sulfate	Kerato sulphate; Kerato sulfate; Keratan sulphate	KS	keratan	kerato 6'-sulfate; keratan 6'-sulfate; Kerato 6'-sulphate; Keratan 6'-sulphate		1A	G82109MW; G00020MO	GSD000114		EOG_VARKI_4E; GSD_GLYGEN_V0; PUBDICTIONARIES-GLYCAN-IMAGE; GLYCOEPITOPE; PUBDICT_GLYCAN_MOTIF; PUBDICT_GLYCOSMOS; PUBDICT_MOTIF_GTC	Keratan sulfate is a sulfated poly-N-acetyllactosamine chain present on a limited number of proteins as an N-linked or O-linked chain.
keratan sulfate type I	N-linked KS; corneal-type KS	KS-I				1A				EOG_VARKI_4E	The N-glycan corneal-type KS (type I) is probably degraded by the same set of enzymes used for N-glycan degradation.
keratan sulfate type II	skeletal-type KS	KS-II				1A				EOG_VARKI_4E	
Lacto-N-fucopentaose I						1A				BIOOLIGO	
Lacto-N-fucopentose						1A	G98173LG			SUGARBIND	
Lacto-N-neofucopentaose						1A				BIOOLIGO	
Lacto-N-neooctaose						1A				BIOOLIGO	
lacto-N-neotetraose						1A	G48059CD; G45827GY			PUBDICTIONARIES-GLYCAN-IMAGE; GLYCOEPITOPE; PUBDICT_GLYCAN_MOTIF; PUBDICT_GLYCOSMOS	
lacto-N-tetraose						1A	G45827GY; G48059CD			PUBDICTIONARIES-GLYCAN-IMAGE; GLYCOEPITOPE; PUBDICT_GLYCAN_MOTIF; PUBDICT_GLYCOSMOS	
Lacto-N-triose						1A				BIOOLIGO	
lactogangliotetraosylceramide						1A	G62554JH; G85237WB			PUBDICTIONARIES-GLYCAN-IMAGE; GLYCOEPITOPE; PUBDICT_GLYCAN_MOTIF; PUBDICT_GLYCOSMOS	
lactosylceramide		LacCer; Lc2; CDH	CDH			1A	G84224TW; G20420WT; G74621DY	GSD000116	GlycoMotif:GGM.000064; GlycoMotif:GDV.000039; GlycoMotif:CCRC.000064	EOG_VARKI_4E; GSD_GLYGEN_V0; PUBDICTIONARIES-GLYCAN-IMAGE; SUGARBIND; GLYCOEPITOPE; CUMMINGS; GLYCOMOTIF_GGM; GLYCOMOTIF_GDV; GLYCOMOTIF_CCRC; PUBDICT_GLYCAN_MOTIF; PUBDICT_GLYCOSMOS	Specific exceptions occur, such as the high concentration of lactosylceramide in neutrophil granules.
lactotetraosylceramide		Lc4			Lewis C	1A	G00049MO			PUBDICTIONARIES-GLYCAN-IMAGE; SUGARBIND; GLYCOEPITOPE; PUBDICT_GLYCAN_MOTIF; PUBDICT_GLYCOSMOS	
lactotriaosylceramide		Lc3; Lc(3)Cer; Lc_3			Glucosylceramide	1A	G06239NA; G71142DF; G87727XV	GSD000117	GlycoMotif:GGM.000067; GlycoMotif:GDV.000082; GlycoMotif:GDV.000083; GlycoMotif:CCRC.000067	GSD_GLYGEN_V0; SUGARBIND; CUMMINGS; GLYCOMOTIF_GGM; GLYCOMOTIF_GDV; GLYCOMOTIF_CCRC; PUBDICT_GLYCAN_MOTIF	
Lc3						1A	G06239NA			PUBDICTIONARIES-GLYCAN-IMAGE; PUBDICT_GLYCAN_MOTIF; PUBDICT_GLYCOSMOS	
Lc4						1A	G00049MO			PUBDICTIONARIES-GLYCAN-IMAGE; PUBDICT_GLYCOSMOS	
LcGg4						1A	G62554JH; G85237WB	GSD000118	GlycoMotif:GGM.000075; GlycoMotif:GDV.000068; GlycoMotif:CCRC.000075	GSD_GLYGEN_V0; CUMMINGS; GLYCOMOTIF_GGM; GLYCOMOTIF_GDV; GLYCOMOTIF_CCRC; PUBDICT_GLYCAN_MOTIF	
LeA						1A	G00047MO			PUBDICT_MOTIF_GTC; PUBDICT_GLYCONAVI_NAME; PUBDICT_GLYCONAVI_ABBREV	(more...) Expression of Lea and Leb glycans and FUT3 is largely restricted to the same epithelia that express FUT2.
LeALex						1A				PUBDICT_GLYCONAVI_NAME; PUBDICT_GLYCONAVI_ABBREV	
Leb						1A	G39211DH; G00048MO			PUBDICT_GLYCAN_MOTIF; PUBDICT_MOTIF_GTC	The Lewis b antigen (Leb) is synthesized by the concerted actions of FUT3 and FUT2.
Lec						1A				PUBDICT_GLYCONAVI_NAME; PUBDICT_GLYCONAVI_ABBREV	Among the 350 different lectin families crystallized to date, more than 40 involve calcium ions in their binding sites.
Lec-LeX						1A				PUBDICT_GLYCONAVI_NAME; PUBDICT_GLYCONAVI_ABBREV	
LeD						1A	G00050MO			PUBDICT_MOTIF_GTC	
Lewis a	Le(a); Le^a; Lea	Lea		Lea-5; Lea-3		1A	G00047MO; G39023AU; G26123AX	GSD000119	GlycoMotif:GGM.000020; GlycoMotif:GDV.000026; GlycoMotif:CCRC.000020	GSD_GLYGEN_V0; PUBDICTIONARIES-GLYCAN-IMAGE; SUGARBIND; GLYCOEPITOPE; CUMMINGS; GLYCOMOTIF_GGM; GLYCOMOTIF_GDV; GLYCOMOTIF_CCRC; PUBDICT_GLYCAN_MOTIF; PUBDICT_GLYCOSMOS; PUBDICT_MOTIF_GTC; EOG_VARKI_4E	The Lewis a antigen (Lea) is synthesized by an α1-3/α1-4FucT (FUT3) encoded by the Lewis (LE or FUT3) blood group locus.
Lewis a (b1-3)Gal						1A	G28420BK			GLYCOEPITOPE; PUBDICT_GLYCAN_MOTIF; PUBDICT_GLYCOSMOS	
Lewis a Lewis x						1A				BIOOLIGO	
Lewis a LN						1A				BIOOLIGO	
Lewis a triose						1A				BIOOLIGO	
Lewis a- Lewis X hybrid antigen						1A	G07357YR; G74578MX			PUBDICTIONARIES-GLYCAN-IMAGE; GLYCOEPITOPE; PUBDICT_GLYCAN_MOTIF; PUBDICT_GLYCOSMOS	
Lewis a/x Like structure						1A	G24566OP			PUBDICT_GLYCAN_MOTIF	
Lewis b	Le(b); Lewis(b); Le^b	Leb		Leb-6; Leb-4		1A	G39211DH; G00048MO; G09552LA; G00052MO; G49963IQ	GSD000120	GlycoMotif:GGM.000021; GlycoMotif:GDV.000004; GlycoMotif:GDV.000013; GlycoMotif:CCRC.000021	EOG_VARKI_4E; GSD_GLYGEN_V0; PUBDICTIONARIES-GLYCAN-IMAGE; SUGARBIND; GLYCOEPITOPE; CUMMINGS; GLYCOMOTIF_GGM; GLYCOMOTIF_GDV; GLYCOMOTIF_CCRC; PUBDICT_GLYCAN_MOTIF; PUBDICT_GLYCOSMOS; PUBDICT_MOTIF_GTC	The Lewis b antigen (Leb) is synthesized by the concerted actions of FUT3 and FUT2.
Lewis b pentaose						1A				BIOOLIGO	
Lewis b tetraose						1A				BIOOLIGO	
Lewis b/y Like						1A	G20009SF			PUBDICT_GLYCAN_MOTIF	
Lewis c						1A	G00049MO			BIOOLIGO; PUBDICT_GLYCAN_MOTIF; PUBDICT_MOTIF_GTC	
Lewis D						1A	G00050MO			PUBDICT_GLYCAN_MOTIF; PUBDICT_MOTIF_GTC	Type-1 and -2 Lewis determinants.
Lewis x	Le^x; Le(X); Lex	Lex		Lewis x trisaccharide; Lex-3; Lex-5	SSEA-1	1A	G00051MO; G01187XC; G81516LH		GlycoMotif:GGM.000018; GlycoMotif:GDV.000036; GlycoMotif:CCRC.000018	PUBDICTIONARIES-GLYCAN-IMAGE; SUGARBIND; GLYCOEPITOPE; CUMMINGS; GLYCOMOTIF_GGM; GLYCOMOTIF_GDV; GLYCOMOTIF_CCRC; PUBDICT_GLYCAN_MOTIF; PUBDICT_GLYCOSMOS; PUBDICT_MOTIF_GTC; EOG_VARKI_4E; GSD_GLYGEN_V0	Most strongly implicated are the sialylated and/or sulfated determinants represented by sialyl Lex and its sulfated variants (Figure 14.6), which function as selectin ligands on glycoproteins and glycolipids of leukocytes and tumor cells (Chapters 34 and 47).
Lewis X hexaose						1A				BIOOLIGO	
Lewis x on Core 2						1A				BIOOLIGO	
Lewis X tetraose						1A				BIOOLIGO	
Lewis x triaose					SSEA-1	1A				BIOOLIGO	
Lewis X–Lewis X	Lewis X_Lewis X				dimeric Lewis x	1A	G79535HZ		GlycoMotif:GDV.000037	GLYCOMOTIF_GDV; PUBDICT_GLYCAN_MOTIF	
Lewis y	Le(y); Le^y; LeY; Ley	Ley		Ley-4; Ley-6		1A	G00052MO; G89659QV; G49963IQ		GlycoMotif:GDV.000014; GlycoMotif:CCRC.000019; GlycoMotif:GGM.000019	PUBDICT_GLYCAN_MOTIF; GLYCOMOTIF_GDV; SUGARBIND; PUBDICTIONARIES-GLYCAN-IMAGE; PUBDICT_GLYCOSMOS; GLYCOMOTIF_CCRC; GLYCOEPITOPE; GSD_GLYGEN_V0; CUMMINGS; GLYCOMOTIF_GGM; PUBDICT_MOTIF_GTC	Because of structural similarities, the term “Lewis antigen” was applied to other glycan sequences and includes the Lewis x (Lex) and Lewis y (Ley) determinants and forms of the Lea and Lex determinants that are sialylated and/or sulfated (Figure 14.6).
Lewis y (extended)						1A	G69030AU			PUBDICT_GLYCAN_MOTIF	
Lewis y (extended) / hexasaccharide						1A	G69030AU			PUBDICTIONARIES-GLYCAN-IMAGE; GLYCOEPITOPE; PUBDICT_GLYCAN_MOTIF	
Lewis y Lewis x						1A				BIOOLIGO	
Lewis y pentaose						1A				BIOOLIGO	
Lewis y tetraose					Blood group H type 2	1A				BIOOLIGO	
LeX						1A	G00051MO			PUBDICT_MOTIF_GTC; PUBDICT_GLYCONAVI_ABBREV; PUBDICT_GLYCONAVI_NAME	This molecular complex functions to block polyspermy and also serves as a barrier against microbial infection.
Lex on O-Mannose	O-Mannose Lex; O-Mannose Le^x					1A	G81516LH; G72060BE		GlycoMotif:GGM.000057; GlycoMotif:CCRC.000057	CUMMINGS; GLYCOMOTIF_GGM; GLYCOMOTIF_CCRC; PUBDICT_GLYCAN_MOTIF	
Lex-LeA						1A				PUBDICT_GLYCONAVI_NAME; PUBDICT_GLYCONAVI_ABBREV	
Lex_Lex						1A	G45673KX; G79535HZ			PUBDICT_GLYCAN_MOTIF	
Lex–Lex						1A	G45673KX		GlycoMotif:CCRC.000031	CUMMINGS; GLYCOMOTIF_CCRC	
Ley						1A	G00052MO			PUBDICT_GLYCAN_MOTIF; PUBDICT_GLYCONAVI_NAME; PUBDICT_GLYCONAVI_ABBREV	Because of structural similarities, the term “Lewis antigen” was applied to other glycan sequences and includes the Lewis x (Lex) and Lewis y (Ley) determinants and forms of the Lea and Lex determinants that are sialylated and/or sulfated (Figure 14.6).
Ley -Lex						1A				PUBDICT_GLYCONAVI_NAME; PUBDICT_GLYCONAVI_ABBREV	
Ley-Di-Lex						1A				PUBDICT_GLYCONAVI_NAME; PUBDICT_GLYCONAVI_ABBREV	
LN3 Type 2						1A				BIOOLIGO	
LNFP II						1A	G98173LG			SUGARBIND	
LNnT						1A				PUBDICT_GLYCONAVI_NAME; PUBDICT_GLYCONAVI_ABBREV	
LNT						1A				PUBDICT_GLYCONAVI_NAME; PUBDICT_GLYCONAVI_ABBREV	
LNT-2						1A				BIOOLIGO; PUBDICT_GLYCONAVI_NAME; PUBDICT_GLYCONAVI_ABBREV	
LSTa						1A	G21066IE			SUGARBIND	
LSTc						1A	G21938SG			SUGARBIND	
Monosialogangliotetraosylceramide		GM1	Monosialoganglioside	GM1a	NeuAc-GM1	1A	G48558GR			SUGARBIND; PUBDICT_GLYCAN_MOTIF	For example, in the widely used nomenclature of Svennerholm, the ganglioside Galβ1-3GalNAcβ1-4(Neu5Acα2-3)Galβ1-4GlcβCer is designated “GM1” (Figure 11.3).
monosialyl Gb5					Sialosyl galactosyl globoside; GL-7 globoseries ganglioside; SSEA-4	1A	G32254QI	GSD000125	GlycoMotif:GGM.000080	GSD_GLYGEN_V0; PUBDICTIONARIES-GLYCAN-IMAGE; GLYCOEPITOPE; PUBDICT_GLYCAN_MOTIF; PUBDICT_GLYCOSMOS	
Monosulfated gangliotetraosylceramide						1A	G96596OC; G59736KH; G57796RK		GlycoMotif:GGM.000066; GlycoMotif:GDV.000052; GlycoMotif:CCRC.000066	CUMMINGS; GLYCOMOTIF_GGM; GLYCOMOTIF_GDV; GLYCOMOTIF_CCRC; PUBDICT_GLYCAN_MOTIF	
monosulfated globopentaosylceramide						1A	G80193TN; G30925QW; G57710SU	GSD000126	GlycoMotif:GGM.000072; GlycoMotif:GDV.000075	GSD_GLYGEN_V0; CUMMINGS; GLYCOMOTIF_GGM; GLYCOMOTIF_GDV; PUBDICT_GLYCAN_MOTIF	
monosulfated globotetraosylceramide						1A	G05297EK; G50866KI; G44854SQ; G87212TR	GSD000127	GlycoMotif:GGM.000073; GlycoMotif:GDV.000077; GlycoMotif:CCRC.000073	GSD_GLYGEN_V0; CUMMINGS; GLYCOMOTIF_GGM; GLYCOMOTIF_GDV; GLYCOMOTIF_CCRC; PUBDICT_GLYCAN_MOTIF	
N-acetyl GD3						1A	G98544DH			PUBDICTIONARIES-GLYCAN-IMAGE; GLYCOEPITOPE; PUBDICT_GLYCAN_MOTIF; PUBDICT_GLYCOSMOS	
N-acetyl GM2						1A	G79389NT	GSD000128		GSD_GLYGEN_V0; PUBDICTIONARIES-GLYCAN-IMAGE; GLYCOEPITOPE; PUBDICT_GLYCAN_MOTIF; PUBDICT_GLYCOSMOS	
N-acetyl GM3						1A	G91237TK			PUBDICTIONARIES-GLYCAN-IMAGE; GLYCOEPITOPE; PUBDICT_GLYCAN_MOTIF; PUBDICT_GLYCOSMOS	
N-glycolyl GD3						1A	G84891DZ			PUBDICTIONARIES-GLYCAN-IMAGE; GLYCOEPITOPE; PUBDICT_GLYCAN_MOTIF; PUBDICT_GLYCOSMOS	
N-glycolyl GM2						1A	G56478LD; G18221CF	GSD000130	GlycoMotif:GGM.000096; GlycoMotif:GDV.000073; GlycoMotif:CCRC.000096	GSD_GLYGEN_V0; PUBDICTIONARIES-GLYCAN-IMAGE; GLYCOEPITOPE; CUMMINGS; GLYCOMOTIF_GGM; GLYCOMOTIF_GDV; GLYCOMOTIF_CCRC; PUBDICT_GLYCAN_MOTIF; PUBDICT_GLYCOSMOS	
N-glycolyl GM3						1A	G75789AR			PUBDICTIONARIES-GLYCAN-IMAGE; GLYCOEPITOPE; PUBDICT_GLYCAN_MOTIF; PUBDICT_GLYCOSMOS	
Neolactotetraose						1A				PUBDICT_GLYCONAVI_NAME; PUBDICT_GLYCONAVI_ABBREV	
Neolactotetraosylceramide		NLc4			Paragloboside	1A	G58896AZ			SUGARBIND; PUBDICT_GLYCAN_MOTIF	
NeuGc-GM2		GM2gc				1A	G56478LD			SUGARBIND	
NeuGc-GM3		GM3gc				1A	G75789AR			SUGARBIND	
nLc4						1A	G58896AZ			PUBDICTIONARIES-GLYCAN-IMAGE; PUBDICT_GLYCOSMOS	
nLc6	neolacto-hexaosylceramide					1A	G84034JH			PUBDICTIONARIES-GLYCAN-IMAGE; PUBDICT_GLYCOSMOS	
O-acetyl-GD3						1A	G74121RX			PUBDICT_GLYCOSMOS	
O-antigen	O-polysaccharides; lipopolysaccharide O antigen; LPS O antigen	O-PS				1A				EOG_VARKI_4E	LPS consists of a base lipid (lipid A) linked to a core oligosaccharide followed by highly diverse O-polysaccharides (O-antigens).
O-GalNAc Core	O-Glycan O-GalNAc Core					1A	G39738WL		GlycoMotif:GGM.001034	GLYCOMOTIF_GGM	
O-Mannose Core	O-Glycan O-Mannose Core					1A	G76001GO		GlycoMotif:GGM.001036	GLYCOMOTIF_GGM	
P antigen	GLOB P antigen				Gb4	1A	G00061MO	GSD000088	GlycoMotif:GGM.000070; GlycoMotif:CCRC.000070	EOG_VARKI_4E; GSD_GLYGEN_V0; GLYCOMOTIF_CCRC; PUBDICT_GLYCAN_MOTIF; PUBDICT_MOTIF_GTC	The A1 and A2 subgroup antigens are distinct (Figure 14.5) reflecting the different A transferases encoded by the A1 versus A2 allele at the ABO locus.
P1 antigen	P1 determinant					1A	G12460DL; G55205ZV; G00060MO; G00076PK	GSD000141	GlycoMotif:GGM.000069; GlycoMotif:GDV.000024; GlycoMotif:CCRC.000069	EOG_VARKI_4E; GSD_GLYGEN_V0; PUBDICTIONARIES-GLYCAN-IMAGE; GLYCOEPITOPE; CUMMINGS; GLYCOMOTIF_GGM; GLYCOMOTIF_GDV; GLYCOMOTIF_CCRC; PUBDICT_GLYCAN_MOTIF; PUBDICT_GLYCOSMOS; PUBDICT_MOTIF_GTC	In the second pathway, P1-antigen biosynthesis begins with two reactions leading to paragloboside, which is acted on by A4GALT to form the P1 antigen, the most common P blood group.
P1 penta						1A				PUBDICT_GLYCONAVI_NAME; PUBDICT_GLYCONAVI_ABBREV	
