id	label	glytoucan_id	names	keywords	url	bgsl_curator_meta
GGM.001023	N-glycan core, bisected	G68395LV		N-glycan classification	https://glycomotif.glyomics.org/glycomotif/GGM.001023	"{""keep"": true, ""suggested_class"": ""1B""}"
GGM.001024	N-Glycan core, core-fucosylated	G68504BA		N-glycan classification	https://glycomotif.glyomics.org/glycomotif/GGM.001024	"{""keep"": true, ""suggested_class"": ""1B""}"
GGM.001025	N-Glycan core, arm-fucosylated	G05006NI		N-glycan classification	https://glycomotif.glyomics.org/glycomotif/GGM.001025	"{""keep"": true, ""suggested_class"": ""1B""}"
GGM.001028	O-GlcNAc	G49108TO		O-glycan classification	https://glycomotif.glyomics.org/glycomotif/GGM.001028	"{""keep"": true, ""suggested_class"": ""2B""}"
GGM.001029	Human milk oligosaccharide	G15541SE	Milk Sugar Core		https://glycomotif.glyomics.org/glycomotif/GGM.001029	"{""keep"": true, ""suggested_class"": ""3C"", ""preferred_label_override"": ""Human milk oligosaccharide core""}"
GGM.001030	GPI anchor	G46392BZ			https://glycomotif.glyomics.org/glycomotif/GGM.001030	"{""keep"": true, ""suggested_class"": ""1A""}"
GGM.001031	O-Glucosylation	G71142DF		O-glycan classification	https://glycomotif.glyomics.org/glycomotif/GGM.001031	"{""keep"": true}"
GGM.001032	O-Glycan core 8	G76355TG		Mucin-type O-glycan core|O-glycan classification	https://glycomotif.glyomics.org/glycomotif/GGM.001032	"{""keep"": true, ""suggested_class"": ""1A""}"
GGM.001033	O-Glycan core 8 fuzzy	G09127IA		Mucin-type O-glycan core|O-glycan classification	https://glycomotif.glyomics.org/glycomotif/GGM.001033	"{""keep"": true, ""suggested_class"": ""1A""}"
GGM.001034	O-Glycan O-GalNAc Core	G39738WL		Mucin-type O-glycan core|O-glycan classification	https://glycomotif.glyomics.org/glycomotif/GGM.001034	"{""keep"": true, ""preferred_label_override"": ""O-GalNAc Core""}"
GGM.001035	O-Glycan O-Fucose Core	G49112ZN		O-glycan classification	https://glycomotif.glyomics.org/glycomotif/GGM.001035	"{""keep"": true, ""preferred_label_override"": ""O-Fucose Core""}"
GGM.001036	O-Glycan O-Mannose Core	G76001GO		O-glycan classification	https://glycomotif.glyomics.org/glycomotif/GGM.001036	"{""keep"": true, ""preferred_label_override"": ""O-Mannose Core""}"
GGM.001037	N-Glycan biantennary	G98414DB		N-glycan classification	https://glycomotif.glyomics.org/glycomotif/GGM.001037	"{""keep"": true, ""suggested_class"": ""1B""}"
GGM.001038	N-Glycan triantennary	G59096WE		N-glycan classification	https://glycomotif.glyomics.org/glycomotif/GGM.001038	"{""keep"": true, ""suggested_class"": ""1B""}"
GGM.001039	N-Glycan tetraantennary	G33451SJ		N-glycan classification	https://glycomotif.glyomics.org/glycomotif/GGM.001039	"{""keep"": true, ""suggested_class"": ""1B""}"
GGM.001040	O-GlcNAc Core EGF Type	G66213AR		O-glycan classification	https://glycomotif.glyomics.org/glycomotif/GGM.001040	"{""keep"": true, ""suggested_class"": ""3C""}"
GGM.001041	N-glycan core, truncated	G59883YF		N-glycan classification	https://glycomotif.glyomics.org/glycomotif/GGM.001041	"{""keep"": true, ""suggested_class"": ""1B""}"
GGM.001101	Glycosphingolipid Isoglobo series	G00012MO		Glycosphingolipid classification	https://glycomotif.glyomics.org/glycomotif/GGM.001101	"{""keep"": true, ""suggested_class"": ""3A""}"
GGM.001102	Glycosphingolipid Muco series	G00013MO		Glycosphingolipid classification	https://glycomotif.glyomics.org/glycomotif/GGM.001102	"{""keep"": true, ""suggested_class"": ""3A""}"
GGM.001103	Glycosphingolipid Arthro series	G00014MO		Glycosphingolipid classification	https://glycomotif.glyomics.org/glycomotif/GGM.001103	"{""keep"": true, ""suggested_class"": ""3A""}"
GGM.001104	Glycosphingolipid Mollu series	G00015MO		Glycosphingolipid classification	https://glycomotif.glyomics.org/glycomotif/GGM.001104	"{""keep"": true, ""suggested_class"": ""3A""}"
GGM.001105	Glycosphingolipid Gala series	G00016MO		Glycosphingolipid classification	https://glycomotif.glyomics.org/glycomotif/GGM.001105	"{""keep"": true, ""suggested_class"": ""3A""}"
GGM.001106	Glycosphingolipid Lacto series	G00069MO		Glycosphingolipid classification	https://glycomotif.glyomics.org/glycomotif/GGM.001106	"{""keep"": true, ""suggested_class"": ""3A""}"
GGM.001107	Glycosphingolipid Neo-lacto series	G00070MO		Glycosphingolipid classification	https://glycomotif.glyomics.org/glycomotif/GGM.001107	"{""keep"": true, ""suggested_class"": ""3A""}"
GGM.001108	Glycosphingolipid Ganglio series	G00071MO		Glycosphingolipid classification	https://glycomotif.glyomics.org/glycomotif/GGM.001108	"{""keep"": true, ""suggested_class"": ""3A""}"
GGM.001109	Glycosphingolipid Globo series	G99312NX		Glycosphingolipid classification	https://glycomotif.glyomics.org/glycomotif/GGM.001109	"{""keep"": true, ""suggested_class"": ""3A""}"
GGM.001201	GAG Core 1a	G24334HE		GAG classification	https://glycomotif.glyomics.org/glycomotif/GGM.001201	"{""keep"": true, ""suggested_class"": ""1A"", ""preferred_label_override"": ""Has broad synonym GAG Core.""}"
GGM.001202	GAG Core 1b	G68167JE		GAG classification	https://glycomotif.glyomics.org/glycomotif/GGM.001202	"{""keep"": true, ""suggested_class"": ""1A"", ""preferred_label_override"": ""Has broad synonym GAG Core.""}"
GGM.001203	GAG Core 2a	G47726BP		GAG classification	https://glycomotif.glyomics.org/glycomotif/GGM.001203	"{""keep"": true, ""suggested_class"": ""1A"", ""preferred_label_override"": ""Has broad synonym GAG Core.""}"
GGM.001204	GAG Core 2b	G99404VQ		GAG classification	https://glycomotif.glyomics.org/glycomotif/GGM.001204	"{""keep"": true, ""suggested_class"": ""1A"", ""preferred_label_override"": ""Has broad synonym GAG Core.""}"
GGM.001205	GAG Core 3a	G71799OV		GAG classification	https://glycomotif.glyomics.org/glycomotif/GGM.001205	"{""keep"": true, ""suggested_class"": ""1A"", ""preferred_label_override"": ""Has broad synonym GAG Core.""}"
GGM.001206	GAG Core 3b	G17755DI		GAG classification	https://glycomotif.glyomics.org/glycomotif/GGM.001206	"{""keep"": true, ""suggested_class"": ""1A"", ""preferred_label_override"": ""Has broad synonym GAG Core.""}"
GGM.001207	GAG Core 4a	G20313XP		GAG classification	https://glycomotif.glyomics.org/glycomotif/GGM.001207	"{""keep"": true, ""suggested_class"": ""1A"", ""preferred_label_override"": ""Has broad synonym GAG Core.""}"
GGM.001208	GAG Core 4b	G35577IC		GAG classification	https://glycomotif.glyomics.org/glycomotif/GGM.001208	"{""keep"": true, ""suggested_class"": ""1A"", ""preferred_label_override"": ""Has broad synonym GAG Core.""}"
GGM.001209	GAG Core 5a	G83003HU		GAG classification	https://glycomotif.glyomics.org/glycomotif/GGM.001209	"{""keep"": true, ""suggested_class"": ""1A"", ""preferred_label_override"": ""Has broad synonym GAG Core.""}"
GGM.001210	GAG Core 5b	G09365IF		GAG classification	https://glycomotif.glyomics.org/glycomotif/GGM.001210	"{""keep"": true, ""suggested_class"": ""1A"", ""preferred_label_override"": ""Has broad synonym GAG Core.""}"
GGM.001211	GAG Core 6a	G40737XM		GAG classification	https://glycomotif.glyomics.org/glycomotif/GGM.001211	"{""keep"": true, ""suggested_class"": ""1A"", ""preferred_label_override"": ""Has broad synonym GAG Core.""}"
GGM.001212	GAG Core 6b	G01966AZ		GAG classification	https://glycomotif.glyomics.org/glycomotif/GGM.001212	"{""keep"": true, ""suggested_class"": ""1A"", ""preferred_label_override"": ""Has broad synonym GAG Core.""}"
GGM.001213	GAG Core 7a	G81019IW		GAG classification	https://glycomotif.glyomics.org/glycomotif/GGM.001213	"{""keep"": true, ""suggested_class"": ""1A"", ""preferred_label_override"": ""Has broad synonym GAG Core.""}"
GGM.001214	GAG Core 7b	G58965WY		GAG classification	https://glycomotif.glyomics.org/glycomotif/GGM.001214	"{""keep"": true, ""suggested_class"": ""1A"", ""preferred_label_override"": ""Has broad synonym GAG Core.""}"
